energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.753,,0.000069476230530952,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
3.753,,0.1096786087819616,0.008896434270972873,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
22.983,,0.0047164500816038344,0.0012308264823983684,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,EC,0.023,0.006,462.73,27,48,68,Cd,1-Dec-2009,Jean Blachot,2026-08-01
23.173,,0.008870509839390322,0.0023145132348010512,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,EC,0.023,0.006,462.73,27,48,68,Cd,1-Dec-2009,Jean Blachot,2026-08-01
24.001,,10.393921315233046,0.8828278892692051,,,,,,,,,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
24.209,,19.500790460099523,1.653810052712378,,,,,,,,,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
25.044,,0.00021852366494288678,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
25.044,,0.34717708022971067,0.02878422236302699,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
25.271,,0.6497793004486443,0.05378691304009488,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
25.271,,0.00040899057634828146,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
26.184,,0.0024725508282621342,0.0006455473115188475,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,EC,0.023,0.006,462.73,27,48,68,Cd,1-Dec-2009,Jean Blachot,2026-08-01
26.381,,0.0029225550790058425,0.0007629367647281164,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,EC,0.023,0.006,462.73,27,48,68,Cd,1-Dec-2009,Jean Blachot,2026-08-01
26.641,,0.0004500042507437084,0.0001181382508400951,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,EC,0.023,0.006,462.73,27,48,68,Cd,1-Dec-2009,Jean Blachot,2026-08-01
27.367,,5.471485903081876,0.4669504595691222,,,,,,,,,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
27.581,,6.511068224667433,0.5547004368677061,,,,,,,,,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
27.858,,1.0395823215855564,0.09459957876031454,,,,,,,,,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
28.579,,0.18373314751682965,0.015307424073167136,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
28.579,,0.0001156471525721234,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
28.81,,0.00013842964162883172,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
28.81,,0.21992857757764508,0.0182897937444054,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
29.107,,0.036195430060815444,0.0032107476931521445,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
29.107,,0.00002278248905670831,,,,,,,,,,,49,67,In,,0,,1+,14.10,,3,s,14.1,0.03,B-,99.977,0.006,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01

