energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
632.98,0.05,1.76,0.1,,632.98,,0.0,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,B-,97.15,0.2,1645.6,26,48,60,Cd,1-Jul-2008,Jean Blachot,2026-07-24
722.907,0.01,90.8,1.9,,1771.162,,1048.25,E2,,,0.0022,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
880.26,0.1,0.0032,0.0003,,1314.20,,433.938,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
931.12,0.2,0.00055,0.00006,,931.07,,0.0,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
1007.22,0.06,0.0139,0.0012,,1441.16,,433.938,(M1+E2),7,6,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
1106,0.07,0.00165,0.00019,,1539.95,,433.938,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
1441.14,0.1,0.003,0.0003,,1441.16,,0.0,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
1540,0.2,0.00105,0.00012,,1539.95,,0.0,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
511,,0.5652,,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
3.053,,4.708677292252,0.11851794926827205,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
3.053,,0.13097403290266,0.007309030660955438,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
3.218,,0.508545788256,0.030425298340479797,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24
21.02,,18.391643060452786,0.17741271873311032,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
21.02,,0.5204752224580189,0.029485868940253065,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
21.177,,0.9833274559947457,0.05551334180244967,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
21.177,,34.74710572539729,0.29225555802949704,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
21.99,,0.4803156165743288,0.03026547761862377,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24
22.163,,0.905401727755568,0.05689107838564951,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24
23.904,,0.26978477111729515,0.01542335208963873,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
23.904,,9.533182367649514,0.11750574507284627,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
24.07,,11.153823370149931,0.1289541959763685,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
24.07,,0.3156481822072353,0.01799483393994233,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
24.297,,1.6206410025004174,0.05168248054213047,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,EC+B+,91.3,0.9,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
24.297,,0.04586341108994017,0.0029486134860218834,,,,,,,,,,47,61,Ag,,0,,1+,2.382,,11,m,142.92,0.66,EC+B+,2.85,0.2,1917.4,26,46,62,Pd,1-Jul-2008,Jean Blachot,2026-07-24
25.03,,0.250821921354432,0.01593402586222089,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24
25.211,,0.2944649356701031,0.01864591263249292,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24
25.454,,0.04364301431567117,0.0031546297449013363,,,,,,,,,,47,61,Ag,,109.466,0.007,6+,438,,9,Y,13821933576.871296,284012333.771328,IT,8.7,0.9,,,47,61,Ag,1-Jul-2008,Jean Blachot,2026-07-24

